Date,Sediment - Fine_136106A_kilograms
1986-07-01,0
1986-07-02,0
1986-07-03,0.000150836144778781
1986-07-04,0.00399751285139279
1986-07-05,0.030562161557936
1986-07-06,0.0404782318264482
1986-07-07,0.0550556971995041
1986-07-08,0.0802101727945739
1986-07-09,0.253851789364318
1986-07-10,0.240188788256022
1986-07-11,3.25585982576029
1986-07-12,14.0440100128798
1986-07-13,39.9054004342101
1986-07-14,85.813480483905
1986-07-15,150.606734650024
1986-07-16,227.479378777297
1986-07-17,313.637747603778
1986-07-18,665.659584677969
1986-07-19,809.141934052889
1986-07-20,918.813491760108
1986-07-21,1021.66737009308
1986-07-22,1092.31099847445
1986-07-23,1133.65932483065
1986-07-24,1151.2635143107
1986-07-25,1151.5867716661
1986-07-26,1140.86851544089
1986-07-27,1128.79362838715
1986-07-28,1121.66095998707
1986-07-29,1104.72554181549
1986-07-30,1081.02990494219
1986-07-31,1068.38293311964
1986-08-01,1047.8239281989
1986-08-02,1021.21212049752
1986-08-03,990.745616113941
1986-08-04,977.256673507469
1986-08-05,951.069220252974
1986-08-06,928.219172244275
1986-08-07,909.532586167112
1986-08-08,895.05208676762
1986-08-09,884.226010890349
1986-08-10,876.177224811372
1986-08-11,887.284673461715
1986-08-12,902.333373993772
1986-08-13,922.07420565271
1986-08-14,943.852214122957
1986-08-15,971.817682043284
1986-08-16,1056.78224697116
1986-08-17,1193.92095955696
1986-08-18,1339.12136575734
1986-08-19,1410.2900112745
1986-08-20,1446.97598163371
1986-08-21,1450.37703849394
1986-08-22,1428.2846734196
1986-08-23,1392.04478738312
1986-08-24,1350.40037006726
1986-08-25,1310.33240085033
1986-08-26,1272.23142330697
1986-08-27,1238.62236957161
1986-08-28,1209.18802040124
1986-08-29,1183.0207989275
1986-08-30,1160.94612876633
1986-08-31,1177.85496641815
1986-09-01,1183.0601506248
1986-09-02,1178.91542246756
1986-09-03,1171.89537489916
1986-09-04,1163.04028187869
1986-09-05,1153.37099427572
1986-09-06,1143.7897076115
1986-09-07,1134.99026732409
1986-09-08,1127.3240146192
1986-09-09,1120.73709846451
1986-09-10,1114.85808412498
1986-09-11,1109.20060904313
1986-09-12,1103.3335548386
1986-09-13,1096.99401863094
1986-09-14,1090.29710780299
1986-09-15,1083.78006424476
1986-09-16,1077.85839164102
1986-09-17,1072.57434904097
1986-09-18,1067.62633858745
1986-09-19,1062.5657735551
1986-09-20,1057.01821207133
1986-09-21,1050.80845733938
1986-09-22,1043.9735945839
1986-09-23,1036.7011682041
1986-09-24,1029.28027323122
1986-09-25,1022.18292225639
1986-09-26,1016.41235131816
1986-09-27,1019.28050149473
1986-09-28,1016.65303738195
1986-09-29,1034.44638139141
1986-09-30,1098.8748174556
1986-10-01,1130.33337534021
1986-10-02,1181.05748687124
1986-10-03,1232.52962268764
1986-10-04,1283.24967682496
